time,iteration,accuracy/result/06-30-01-53-BSP-0-outdoors
0.01,0,52.88
65.07,1,52.98
120.36,2,53.02
180.08,4,53.04
310.3,6,52.89
240.05,6,52.8
360.06,9,53.43
420.08,11,53.77
480.1,13,54.5
540.04,16,55.46
600.1,19,55.77
660.09,22,56.99
720.05,24,56.79
780.08,27,55.13
840.08,30,57.84
900.07,33,52.12
960.06,36,51.68
1020.02,38,53.52
1080.06,42,59.25
1140.08,45,55.46
1260.06,49,53.56
1440.08,56,59.55
1620.12,65,58.64
1800.03,69,60.1
1980.12,75,60.3
2160.05,84,61.55
2340.13,98,62.31
2520.1,104,62.41
2700.12,108,62.51
2880.12,113,62.49
3060.04,122,63.05
3240.04,167,63.53
3420.06,182,63.76
3600.12,186,63.8
3780.02,190,63.84
3960.07,199,64.2
4140.11,213,64.69
4320.04,259,65.04
4500.11,291,65.33
4680.04,329,65.77
4860.12,346,66.09
5400.12,377,66.42
5940.02,391,66.84
6480.13,409,67.07
7020.11,460,67.47
7560.03,481,67.78
8100.06,498,67.97
