time,iteration,accuracy/result/06-30-07-14-ROG-40-outdoors
0.01,0,52.88
60.12,8,52.9
120.13,22,53.43
180.35,38,54.84
240.08,55,56.01
300.37,72,55.65
360.08,87,56.85
420.09,105,57.97
480.69,123,58.63
540.14,141,58.61
600.2,159,60.31
660.08,175,59.4
720.04,193,59.41
780.09,212,62.6
840.15,229,63.27
900.05,246,63.84
960.08,264,64.49
1020.08,282,64.63
1080.08,298,65.11
1140.23,313,66.14
1261.02,340,66.61
1440.13,375,66.96
1620.15,421,67.89
1800.23,455,67.53
1980.2,494,67.38
2160.17,538,67.04
2340.37,584,68.33
2520.21,627,69.03
2700.2,653,69.01
2880.2,686,69.25
3060.21,733,69.44
3240.16,784,69.45
3420.39,832,69.38
3600.32,863,69.72
3780.26,894,69.83
3960.21,932,69.64
4140.46,976,69.35
4320.53,1029,69.61
4500.38,1071,69.68
4680.61,1125,69.32
4860.25,1171,69.26
5400.55,1326,69.5
5940.23,1352,69.54
6480.16,1352,69.56
7020.41,1527,69.66
7560.43,1624,69.63
8100.44,1729,69.78
8640.5,1842,69.87
9180.42,1953,69.97
9720.47,2082,70.01
