time,iteration,accuracy/result/06-30-03-34-ROG-4-outdoors
0.01,0,52.88
60.08,2,52.99
120.09,7,53.31
180.05,12,53.7
240.12,17,54.33
300.02,18,54.41
360.09,24,55.88
420.08,28,56.49
480.12,34,56.57
540.1,39,51.67
600.75,45,54.05
660.08,50,54.24
720.67,56,57.17
780.08,62,59.63
840.08,67,60.31
900.08,73,60.01
960.03,80,60.33
1020.04,85,61.47
1080.04,92,61.84
1140.09,98,62.58
1260.31,108,62.93
1440.12,121,62.96
1620.12,80,63.04
1800.12,84,63.61
1980.12,90,64.07
2160.1,99,64.54
2340.03,117,65.27
2520.12,127,65.63
2700.08,327,66.03
2880.25,343,66.41
3060.2,368,66.81
3241.18,398,67.22
3420.09,422,67.67
3600.16,435,68.28
3780.07,447,68.68
3960.14,467,68.98
4140.28,495,69.32
4320.15,542,69.72
4500.19,588,70.13
4680.15,630,70.27
4860.2,667,70.86
5400.51,735,71.23
5940.34,770,71.52
6480.46,823,71.83
7020.79,907,72.22
7560.43,963,72.62
8100.26,1013,72.58
