time,iteration,accuracy/result/06-26-02-20-ROG-4-outdoors
0.01,0,52.88
60.03,4,52.88
120.03,8,53.08
180.09,15,53.41
240.02,21,53.56
300.06,22,53.43
360.02,32,54.99
420.7,39,54.58
480.04,46,55.27
540.08,55,54.35
600.09,64,55.43
660.08,73,57.09
720.04,81,56.39
780.93,91,57.76
840.1,100,55.8
900.03,110,58.27
960.03,120,58.66
1020.66,128,58.53
1080.2,139,59.28
1140.02,147,60.28
1260.13,160,60.32
1440.18,178,61.53
1621.29,203,60.75
1800.15,217,60.54
1980.14,236,62.82
2160.06,260,61.26
2340.17,293,63.94
2520.03,315,63.34
2700.08,327,61.83
2880.25,343,63.33
3060.2,368,63.91
3241.18,398,65.11
3420.09,422,65.52
3600.16,435,65.07
3780.07,447,65.94
3960.14,467,66.18
4140.28,495,66.48
4320.15,542,66.68
4500.19,588,66.82
4680.15,630,67.04
4860.2,667,66.53
5400.51,735,67.77
5940.34,770,67.86
6480.46,823,68.52
7020.79,907,67.83
7560.43,963,68.62
8100.26,1013,68.58
8640.5,1092,69.37
9180.42,1203,70.17
9720.47,1332,70.11
16480.39,1409,70.22
17020.41,1527,70.46
17560.43,1624,70.63
18100.44,1729,70.98
18640.5,1842,71.27
19180.42,1953,71.47
19720.47,2082,71.51
