time,iteration,accuracy/result/06-29-11-47-ROG-30-outdoors
0.01,0,52.88
60.03,10,52.81
120.08,25,53.5
180.03,40,55.16
240.07,58,54.85
300.08,63,56.03
360.07,79,58.18
420.26,96,57.05
480.24,110,59.03
540.3,126,59.62
600.1,141,57.5
660.19,157,57.93
720.09,169,60.11
780.08,186,60.77
840.18,202,62.48
900.11,218,63.41
960.1,234,63.61
1020.61,251,63.81
1080.21,267,64.7
1140.12,283,64.7
1260.52,308,63.9
1440.13,340,65.23
1620.43,381,65.77
1800.09,409,66.88
1980.12,442,65.6
2160.95,482,67.04
2340.78,535,66.69
2520.15,573,65.88
2700.15,599,67.57
2880.11,628,68.04
3060.15,672,68.4
3240.35,717,68.5
3420.14,761,68.8
3600.08,789,68.94
3780.17,811,68.91
3960.16,845,69.13
4140.14,886,69.07
4320.19,941,69.27
4500.84,994,69.22
4680.53,1051,68.3
4860.22,1096,69.67
5400.53,1231,69.69
5940.5,1304,69.55
6480.39,1409,69.42
7020.41,1527,69.76
7560.43,1624,69.73
8100.44,1729,70.18
8640.5,1842,70.37
9180.42,1953,70.17
9720.47,2082,70.61
