time,iteration,accuracy/result/06-23-08-35-SSP-4-outdoors
0.01,0,52.88
60.06,2,52.89
120.05,4,52.95
180.03,9,52.97
240.02,11,53.06
315.08,12,53.13
360.04,18,53.21
420.08,23,52.97
480.03,28,52.98
540.04,31,53.5
600.09,35,54.39
660.09,39,54.78
720.03,42,54.83
780.04,46,55.41
840.06,49,55.35
900.04,54,55.23
960.03,58,55.58
1020.15,61,55.96
1080.04,66,57.27
1140.07,70,56.34
1260.04,78,55.87
1440.13,86,58.34
1620.12,96,57.68
1800.08,101,58.8
1980.03,107,56.89
2160.02,118,58.97
2340.04,142,59.95
2520.12,153,57.87
2700.04,159,59.04
2880.14,165,60.31
3060.1,176,59.64
3240.02,196,61.24
3420.11,219,61.27
3600.12,223,61.17
3780.02,227,61.98
3960.13,235,62.75
4140.13,250,62.58
4320.5,298,63.39
4500.03,335,64.18
4680.11,381,64.51
4860.11,403,63.68
5400.12,439,65.37
5940.03,457,65.61
6480.12,480,65.72
7020.04,543,66.42
7560.13,579,65.72
8100.04,600,65.5
8640.13,629,67.0
9180.1,669,65.07
9720.13,708,65.52
10260.14,768,67.17
10800.04,805,66.75
11340.12,898,67.84
11880.05,933,68.19
12420.12,954,68.09
12960.13,991,68.2
13500.1,1102,68.15
14040.13,1133,68.38
14580.12,1154,68.38
15120.07,1177,68.43
16200.09,1220,68.11
17820.13,1369,68.63
19440.07,1479,68.85
