time,iteration,accuracy/result/06-30-02-48-SSP-4-outdoors
0.01,0,52.88
60.08,2,52.82
120.07,4,52.96
180.08,8,53.35
240.08,10,53.85
315.1,11,54.38
360.16,17,54.69
420.08,20,55.06
480.02,22,55.45
540.04,25,56.25
600.04,28,56.74
660.05,31,57.11
720.08,34,57.78
780.08,37,56.5
840.04,40,56.87
900.09,43,56.31
960.09,47,56.81
1020.09,49,57.24
1080.02,53,57.68
1140.02,56,58.46
1260.13,64,58.76
1440.05,71,59.43
1620.12,80,60.04
1800.12,84,60.61
1980.12,90,61.07
2160.1,99,61.54
2340.03,117,61.95
2520.12,127,62.27
2700.08,327,62.63
2880.25,343,63.03
3060.2,368,63.41
3241.18,398,63.81
3420.09,422,64.22
3600.16,435,64.67
3780.07,447,64.94
3960.14,467,65.28
4140.28,495,65.68
4320.15,542,65.98
4500.19,588,66.32
4680.15,630,66.74
4860.2,667,67.13
5400.51,735,67.27
5940.34,770,67.86
6480.46,823,68.52
7020.79,907,67.83
7560.43,963,68.62
8100.26,1013,68.58
